NO#APT2018,NO2APT2018,Εθνικης Αμυνης(1392),Αγιου Δημητριου(1479),Αγιου Δημητριου(1514),Εθνικης Αμυνης(1803),Πανεπιστημιου(1896),Αγιου Δημητριου(2090),Αγιου Δημητριου(2183),Προς Αγιου Δημητριου(727),Αγιου Δημητριου(800),Προς Εθνικης Αμυνης(843)
nan,nan,1.0,43.25,31.5,11.5,27.0,41.75,27.333333333333332,40.0,20.0,35.0
nan,nan,40.0,44.75,24.0,12.0,23.0,42.5,30.0,30.666666666666668,nan,17.0
nan,nan,17.0,52.0,26.75,17.5,23.666666666666668,47.0,29.25,56.0,nan,21.0
nan,nan,nan,42.333333333333336,33.0,8.0,33.0,39.333333333333336,25.5,41.5,nan,17.5
nan,nan,18.333333333333332,45.75,22.75,14.0,22.0,43.0,21.666666666666668,32.75,nan,19.0
nan,nan,21.0,44.25,30.0,18.0,29.0,46.0,22.5,18.0,17.0,21.5
nan,nan,30.0,51.25,23.25,11.0,nan,41.25,27.25,55.0,13.0,32.25
nan,nan,nan,53.5,30.5,9.0,24.0,44.0,32.666666666666664,nan,nan,24.0
nan,nan,25.0,49.0,29.25,17.0,22.0,43.0,32.0,33.333333333333336,28.0,30.5
nan,nan,16.5,49.0,25.666666666666668,13.0,nan,37.0,24.0,30.5,28.0,nan
nan,nan,12.0,48.5,21.0,13.0,35.5,36.25,24.75,28.666666666666668,20.0,26.0
nan,nan,24.0,57.5,25.25,13.5,21.0,43.25,21.333333333333332,34.0,19.0,13.666666666666666
nan,nan,nan,46.5,24.0,4.0,26.0,46.75,31.666666666666668,42.0,nan,30.0
nan,nan,nan,53.25,34.75,nan,26.5,47.0,34.0,28.333333333333332,nan,28.0
nan,nan,15.333333333333334,53.25,34.0,17.0,20.0,52.25,18.0,41.5,nan,24.333333333333332
nan,nan,25.5,46.5,34.25,19.0,31.0,47.75,22.5,nan,nan,28.0
nan,nan,nan,59.0,29.333333333333332,12.0,nan,58.0,18.5,26.0,22.0,42.0
nan,nan,nan,62.5,27.666666666666668,20.0,10.0,55.0,33.0,nan,nan,23.0
nan,nan,nan,45.666666666666664,30.0,nan,nan,58.0,39.5,nan,nan,nan
nan,nan,nan,61.0,43.0,nan,nan,49.0,25.333333333333332,40.0,nan,nan
nan,nan,nan,71.0,26.5,nan,nan,54.333333333333336,25.666666666666668,nan,nan,47.0
nan,nan,nan,52.5,28.5,nan,nan,51.0,37.0,19.0,nan,nan
nan,nan,19.0,55.25,27.333333333333332,nan,28.0,58.25,34.5,51.0,nan,9.5
nan,nan,17.0,53.0,31.25,38.5,28.0,49.75,31.5,24.0,10.0,25.666666666666668
nan,nan,15.0,41.5,30.0,26.0,27.0,42.0,31.0,26.0,nan,21.0
nan,nan,nan,48.75,27.25,9.0,22.0,38.25,22.25,30.0,nan,28.0
nan,nan,28.0,49.0,24.5,nan,31.0,46.75,28.25,45.0,4.0,22.0
nan,nan,17.0,42.5,24.25,6.0,25.333333333333332,43.0,23.0,33.5,nan,19.0
nan,nan,nan,49.0,15.75,18.5,31.0,47.75,30.0,37.0,9.0,20.0
nan,nan,19.5,46.5,23.75,nan,27.0,40.0,21.0,30.5,16.5,25.5
nan,nan,19.0,25.5,5.0,5.0,10.0,33.25,18.0,9.0,nan,28.5
nan,nan,24.0,46.25,14.5,nan,16.5,37.0,33.0,26.0,nan,29.0
nan,nan,13.0,48.75,27.5,7.5,nan,40.25,28.333333333333332,31.0,nan,22.333333333333332
nan,nan,14.0,48.333333333333336,29.0,13.0,26.5,39.25,24.0,38.333333333333336,nan,27.0
nan,nan,30.0,43.75,27.5,33.0,25.0,39.75,27.75,34.5,nan,16.75
nan,nan,16.333333333333332,47.75,28.0,27.0,26.0,43.5,24.5,30.5,nan,22.0
nan,nan,20.333333333333332,51.75,26.0,2.0,24.5,43.5,30.0,nan,nan,30.666666666666668
nan,nan,21.0,44.75,27.5,5.0,nan,50.5,25.25,24.0,23.0,23.0
nan,nan,7.0,49.0,30.0,nan,23.5,47.0,28.0,42.0,nan,21.75
nan,nan,17.5,56.25,28.666666666666668,nan,21.5,47.75,21.5,28.0,46.0,14.0
nan,nan,19.0,54.333333333333336,35.0,1.0,17.0,45.333333333333336,28.25,49.5,nan,15.0
nan,nan,27.0,58.333333333333336,32.0,15.0,nan,53.666666666666664,6.0,nan,nan,2.0
nan,nan,26.0,50.5,29.0,33.0,29.0,49.75,30.0,18.0,4.0,nan
nan,nan,25.0,65.33333333333333,34.0,17.0,25.0,51.666666666666664,23.333333333333332,26.0,nan,37.5
nan,nan,27.0,55.0,35.0,nan,nan,51.0,24.666666666666668,nan,nan,nan
nan,nan,nan,77.0,32.0,nan,nan,60.5,50.5,nan,nan,12.0
nan,nan,3.0,72.0,31.666666666666668,nan,nan,49.0,20.5,20.0,nan,29.5
nan,nan,12.0,44.333333333333336,27.5,nan,nan,52.5,23.0,nan,nan,23.0
nan,nan,nan,41.0,26.0,1.0,20.666666666666668,43.5,29.0,37.5,12.0,18.0
nan,nan,22.0,49.25,29.25,13.5,24.5,40.75,33.5,35.25,nan,20.666666666666668
nan,nan,15.0,50.0,23.0,15.0,28.0,40.0,26.75,35.0,nan,22.0
nan,nan,21.0,49.0,31.75,17.5,23.0,43.75,27.75,44.5,nan,31.0
nan,nan,33.0,45.5,27.5,9.0,29.0,43.75,28.333333333333332,34.666666666666664,nan,20.5
nan,nan,nan,50.25,25.0,29.0,39.0,40.5,36.0,32.333333333333336,nan,38.0
nan,nan,16.0,46.25,23.75,19.5,29.0,45.25,22.666666666666668,28.0,nan,15.0
nan,nan,6.5,56.0,32.5,16.0,23.0,39.25,28.666666666666668,35.333333333333336,nan,24.0
nan,nan,18.0,51.5,24.25,7.5,23.0,40.75,30.5,25.666666666666668,nan,21.5
nan,nan,29.666666666666668,50.25,28.5,9.666666666666666,22.0,45.25,27.75,37.0,11.0,23.0
nan,nan,10.0,47.75,22.666666666666668,20.0,20.0,41.0,23.0,31.0,nan,13.0
nan,nan,20.5,46.0,25.666666666666668,3.0,19.0,41.5,22.0,42.5,nan,28.0
nan,nan,23.0,50.75,21.75,23.0,nan,45.0,34.0,43.0,nan,16.5
nan,nan,nan,46.0,22.5,14.5,20.5,48.75,26.0,37.0,nan,16.0
nan,nan,13.0,48.75,28.25,9.0,21.0,48.0,23.333333333333332,50.0,29.0,12.5
nan,nan,5.0,60.5,34.75,nan,20.5,53.75,24.0,nan,nan,9.0
nan,nan,26.666666666666668,60.25,25.666666666666668,25.0,nan,56.333333333333336,35.0,nan,nan,nan
