BenzAGS2018,CO#AGS2018,NO#AGS2018,NO2AGS2018,O3#AGS2018,PM10AGS2018,PM2.5AGS2018,SO2AGS2018,Πλατεια Αγιας Σοφιας(1264),Ερμου(2378),Καρολου Ντηλ(2872),Καρολου Ντηλ(3026),Πλατεια Αγιας Σοφιας(695),Ερμου(808),Πλατεια Αγιας Σοφιας(890),Πλατεια Αγιας Σοφιας(919),Ερμου(975)
6.32,nan,nan,nan,nan,nan,nan,nan,25.5,34.0,11.0,nan,13.0,25.0,14.5,nan,18.0
6.46,nan,nan,nan,nan,nan,nan,nan,16.0,27.0,16.0,21.5,17.0,22.666666666666668,nan,10.0,28.0
6.79,nan,nan,nan,nan,nan,nan,nan,15.5,21.0,12.5,18.5,15.0,27.0,12.0,nan,19.5
6.63,nan,nan,nan,nan,nan,nan,nan,nan,17.333333333333332,nan,17.0,12.0,26.0,11.5,nan,16.0
5.84,nan,nan,nan,nan,nan,nan,nan,12.0,15.666666666666666,31.0,10.666666666666666,11.0,19.5,10.5,nan,nan
2.97,nan,nan,nan,nan,nan,nan,nan,nan,20.5,19.0,12.5,15.0,11.0,11.0,12.0,18.0
4.59,nan,nan,nan,nan,nan,nan,nan,11.0,22.0,12.0,14.333333333333334,14.666666666666666,26.333333333333332,16.0,16.0,21.0
4.59,nan,nan,nan,nan,nan,nan,nan,17.0,19.5,16.5,16.5,nan,nan,nan,10.0,nan
7.07,nan,nan,nan,nan,nan,nan,nan,20.0,27.333333333333332,30.0,9.5,16.0,26.0,14.5,nan,26.0
8.26,nan,nan,nan,nan,nan,nan,nan,16.0,10.5,24.666666666666668,16.0,nan,29.0,nan,7.0,nan
8.53,nan,nan,nan,nan,nan,nan,nan,nan,19.5,16.666666666666668,14.25,18.0,25.666666666666668,7.5,5.0,23.666666666666668
10.82,nan,nan,nan,nan,nan,nan,nan,nan,18.0,10.0,4.333333333333333,10.5,24.0,nan,nan,19.0
11.38,nan,nan,nan,nan,nan,nan,nan,12.0,11.0,16.75,14.5,nan,22.5,16.0,nan,24.5
16.05,nan,nan,nan,nan,nan,nan,nan,17.0,13.75,22.25,14.0,5.0,15.5,23.333333333333332,14.0,16.0
12.65,nan,nan,nan,nan,nan,nan,nan,nan,14.666666666666666,19.333333333333332,21.5,12.0,15.0,6.0,9.0,23.0
9.67,nan,nan,nan,nan,nan,nan,nan,nan,15.5,17.0,11.75,12.666666666666666,24.333333333333332,18.0,nan,20.0
6.38,nan,nan,nan,nan,nan,nan,nan,17.0,23.5,28.666666666666668,19.25,11.0,30.0,nan,26.333333333333332,24.0
7.38,nan,nan,nan,nan,nan,nan,nan,nan,28.0,20.0,21.0,23.0,23.5,nan,nan,29.666666666666668
5.62,nan,nan,nan,nan,nan,nan,nan,22.0,32.5,10.0,26.0,21.0,28.0,nan,15.0,25.0
6.17,nan,nan,nan,nan,nan,nan,nan,17.5,26.0,22.0,30.666666666666668,nan,nan,nan,24.5,32.5
